Date,District,PM2.5,PM10,NO2,AirQualityIndex
2024-01-11,Mong Kok,56,74,53,105
2024-01-11,Tai Po,35,57,47,72
2024-01-11,Sha Tin,45,80,57,90
2024-01-11,Tuen Mun,28,61,36,72
2024-01-12,Central,33,55,40,67
2024-01-12,Mong Kok,64,90,78,115
2024-01-12,Tai Po,30,48,28,56
2024-01-12,Sha Tin,47,69,48,81
2024-01-12,Tuen Mun,39,61,49,73
2024-01-13,Central,26,50,39,59
2024-01-13,Mong Kok,68,84,83,120
2024-01-13,Tai Po,40,53,46,74
2024-01-13,Sha Tin,38,68,49,81
2024-01-13,Tuen Mun,32,51,45,72
2024-01-14,Central,40,66,49,82
2024-01-14,Mong Kok,52,100,83,122
2024-01-14,Tai Po,34,52,41,62
2024-01-14,Sha Tin,40,67,42,80
2024-01-14,Tuen Mun,48,70,51,95
2024-01-15,Central,33,54,36,71
2024-01-15,Mong Kok,47,69,55,96
2024-01-15,Tai Po,29,42,28,51
2024-01-15,Sha Tin,37,66,51,90
2024-01-15,Tuen Mun,41,63,49,87
2024-01-16,Central,30,52,34,64
2024-01-16,Mong Kok,59,97,72,113
2024-01-16,Tai Po,20,35,31,49
2024-01-16,Sha Tin,51,75,59,87
2024-01-16,Tuen Mun,42,62,58,89
2024-01-17,Central,23,45,33,56
2024-01-17,Mong Kok,54,89,65,122
2024-01-17,Tai Po,22,36,28,50
2024-01-17,Sha Tin,36,63,39,72
2024-01-17,Tuen Mun,39,60,39,70
2024-01-18,Central,30,55,45,68
2024-01-18,Mong Kok,48,83,61,101
2024-01-18,Tai Po,27,45,39,61
2024-01-18,Sha Tin,38,51,43,70
2024-01-18,Tuen Mun,36,68,56,82
2024-01-19,Central,31,43,32,58
2024-01-19,Mong Kok,62,82,58,108
2024-01-19,Tai Po,23,42,32,57
2024-01-19,Sha Tin,39,57,46,77
2024-01-19,Tuen Mun,50,77,46,86
2024-01-20,Central,43,66,42,82
2024-01-20,Mong Kok,57,88,73,123
2024-01-20,Tai Po,22,42,24,49
2024-01-20,Sha Tin,43,66,55,83
2024-01-20,Tuen Mun,38,53,39,65
2024-01-21,Central,39,56,44,81
2024-01-21,Mong Kok,55,84,68,120
2024-01-21,Tai Po,32,54,40,61
2024-01-21,Sha Tin,34,60,43,69
2024-01-21,Tuen Mun,47,76,55,86
2024-01-22,Central,39,60,55,85
2024-01-22,Mong Kok,48,104,63,119
2024-01-22,Tai Po,23,43,29,56
2024-01-22,Sha Tin,39,75,52,86
2024-01-22,Tuen Mun,41,58,45,81
2024-01-23,Central,29,62,40,71
2024-01-23,Mong Kok,50,78,76,111
2024-01-23,Tai Po,28,43,30,51
2024-01-23,Sha Tin,34,49,34,67
2024-01-23,Tuen Mun,40,67,56,84
2024-01-24,Central,41,62,51,76
2024-01-24,Mong Kok,47,72,55,98
2024-01-24,Tai Po,27,51,46,66
2024-01-24,Sha Tin,34,56,53,77
2024-01-24,Tuen Mun,36,66,43,86
2024-01-25,Central,48,67,45,81
2024-01-25,Mong Kok,56,77,59,104
2024-01-25,Tai Po,23,44,35,53
2024-01-25,Sha Tin,49,76,55,86
2024-01-25,Tuen Mun,39,69,44,80
2024-01-26,Central,42,58,49,81
2024-01-26,Mong Kok,57,78,70,107
2024-01-26,Tai Po,26,48,36,59
2024-01-26,Sha Tin,40,57,48,73
2024-01-26,Tuen Mun,39,75,55,87
2024-01-27,Central,41,65,50,74
2024-01-27,Mong Kok,42,69,60,97
2024-01-27,Tai Po,36,48,39,66
2024-01-27,Sha Tin,26,48,37,62
2024-01-27,Tuen Mun,40,67,49,77
2024-01-28,Central,22,40,29,55
2024-01-28,Mong Kok,60,85,77,113
2024-01-28,Tai Po,19,42,26,49
2024-01-28,Sha Tin,32,50,45,65
2024-01-28,Tuen Mun,33,57,38,70
2024-01-29,Central,38,58,55,81
2024-01-29,Mong Kok,64,84,74,116
2024-01-29,Tai Po,26,44,28,56
2024-01-29,Sha Tin,42,59,48,84
2024-01-29,Tuen Mun,32,54,44,77
2024-01-30,Central,41,53,41,70
2024-01-30,Mong Kok,69,96,73,120
2024-01-30,Tai Po,27,41,29,50
2024-01-30,Sha Tin,28,53,41,60
2024-01-30,Tuen Mun,45,73,55,82
